id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 62783961 ,869937a3-5aba-11e8-911c-28924ad12c5c,   -6.871000 ,  -56.497000 ,2011-07-04 17:35:00,Brasil,PARÁ,ITAITUBA,Amazônia
 66200192 ,83983daa-5aba-11e8-911c-28924ad12c5c,   -1.434000 ,  -47.828000 ,2011-11-30 16:17:00,Brasil,PARÁ,INHANGAPI,Amazônia
 66200154 ,83983d85-5aba-11e8-911c-28924ad12c5c,   -2.477000 ,  -49.275000 ,2011-11-30 16:17:00,Brasil,PARÁ,MOCAJUBA,Amazônia
 66276904 ,8398c6d7-5aba-11e8-911c-28924ad12c5c,   -2.425000 ,  -49.012000 ,2011-12-05 16:35:00,Brasil,PARÁ,MOJU,Amazônia
 66359637 ,8399ed8e-5aba-11e8-911c-28924ad12c5c,   -2.377000 ,  -53.786000 ,2011-12-10 16:54:00,Brasil,PARÁ,PRAINHA,Amazônia
 66486575 ,839b00cd-5aba-11e8-911c-28924ad12c5c,   -1.377000 ,  -53.662000 ,2011-12-17 17:00:00,Brasil,PARÁ,PRAINHA,Amazônia
 66671334 ,839c2acc-5aba-11e8-911c-28924ad12c5c,   -3.457000 ,  -49.916000 ,2011-12-28 16:41:00,Brasil,PARÁ,PACAJÁ,Amazônia
 64830815 ,8382485d-5aba-11e8-911c-28924ad12c5c,   -5.309000 ,  -50.023000 ,2011-09-18 16:22:00,Brasil,PARÁ,ITUPIRANGA,Amazônia
 66081592 ,81f6fdb4-5aba-11e8-911c-28924ad12c5c,   -4.041000 ,  -54.383000 ,2011-11-22 17:05:00,Brasil,PARÁ,PLACAS,Amazônia
 62801323 ,81f6fc81-5aba-11e8-911c-28924ad12c5c,   -6.276000 ,  -48.553000 ,2011-07-05 16:40:00,Brasil,PARÁ,SÃO GERALDO DO ARAGUAIA,Amazônia
 62801311 ,81f6fc7f-5aba-11e8-911c-28924ad12c5c,   -5.989000 ,  -49.292000 ,2011-07-05 16:40:00,Brasil,PARÁ,ELDORADO DO CARAJÁS,Amazônia
 62801302 ,7cb5d68a-5aba-11e8-911c-28924ad12c5c,   -5.947000 ,  -49.264000 ,2011-07-05 16:40:00,Brasil,PARÁ,ELDORADO DO CARAJÁS,Amazônia
 62820703 ,8372389a-5aba-11e8-911c-28924ad12c5c,    1.733000 ,  -55.846000 ,2011-07-06 17:25:00,Brasil,PARÁ,ORIXIMINÁ,Amazônia
 62820702 ,83723899-5aba-11e8-911c-28924ad12c5c,    1.734000 ,  -55.836000 ,2011-07-06 17:25:00,Brasil,PARÁ,ORIXIMINÁ,Amazônia
 62841366 ,837238de-5aba-11e8-911c-28924ad12c5c,   -3.230000 ,  -47.247000 ,2011-07-07 16:29:00,Brasil,PARÁ,PARAGOMINAS,Amazônia
 62865638 ,869937eb-5aba-11e8-911c-28924ad12c5c,   -7.468000 ,  -49.409000 ,2011-07-08 17:11:00,Brasil,PARÁ,FLORESTA DO ARAGUAIA,Amazônia
 60388944 ,8698137b-5aba-11e8-911c-28924ad12c5c,   -1.540000 ,  -47.628000 ,2011-01-03 16:36:00,Brasil,PARÁ,SÃO MIGUEL DO GUAMÁ,Amazônia
 60388943 ,8698137a-5aba-11e8-911c-28924ad12c5c,   -1.724000 ,  -47.190000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388859 ,86981378-5aba-11e8-911c-28924ad12c5c,   -1.801000 ,  -46.887000 ,2011-01-03 16:36:00,Brasil,PARÁ,SANTA LUZIA DO PARÁ,Amazônia
 60388958 ,836f4697-5aba-11e8-911c-28924ad12c5c,   -1.523000 ,  -47.512000 ,2011-01-03 16:36:00,Brasil,PARÁ,SÃO MIGUEL DO GUAMÁ,Amazônia
 60388957 ,836f4696-5aba-11e8-911c-28924ad12c5c,   -1.392000 ,  -46.213000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388955 ,836f4694-5aba-11e8-911c-28924ad12c5c,   -1.970000 ,  -46.780000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388953 ,836f4692-5aba-11e8-911c-28924ad12c5c,   -1.401000 ,  -46.212000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
